frequency,V(+v),V(n003),V(n002),V(n004),V(n001),V(-v),V(n005),V(y),V(x),I(C2),I(C1),I(I1),I(R4),I(R6),I(R5),I(R3),I(R2),I(R1),I(V2),I(V5),I(V4),I(V3),I(V1),Ix(u1:1),Ix(u1:2),Ix(u1:3),Ix(u1:4),Ix(u1:5),Ix(u2:1),Ix(u2:2),Ix(u2:3),Ix(u2:4),Ix(u2:5)
0.0,0.0,7.818289868577702e-06,7.818289868577702e-06,7.818289868577702e-06,3.909118558347769e-06,0.0,1.1727355857184226e-07,2.3454869970436672e-07,2.3454869970436672e-07,2.5256103972712863e-18,8.460627335641346e-17,0.0,2.3454869970436675e-09,1.1727514113252445e-10,1.1727355857184226e-10,3.909171310229933e-09,3.909118558347769e-09,7.818289868577702e-08,-2.462762140701802e-09,-4.227741516659968e-08,8.20920700806132e-08,-8.20920700806132e-08,-4.227741516659968e-08,-5.280130615715722e-14,5.283648843635519e-14,4.1046034123742765e-08,4.1046034123742765e-08,-8.209207008061311e-08,-1.584035016759209e-15,1.5850862925938673e-15,1.2313810428569247e-09,1.2313810428569247e-09,-2.4627621407018014e-09
0.0,0.0,8.44199521196851e-06,8.44199521196851e-06,8.44199521196851e-06,4.220969125898192e-06,0.0,1.2662907574365826e-07,2.53259860297034e-07,2.53259860297034e-07,2.7270913854023772e-18,9.135575283701811e-17,0.0,2.5325986029703403e-09,1.2663078455337576e-10,1.2662907574365827e-10,4.221026086070319e-09,4.2209691258981915e-09,8.44199521196851e-08,-2.659229390250807e-09,-4.5650102824310906e-08,8.864097829711117e-08,-8.864097829711117e-08,-4.5650102824310906e-08,-5.701353892705536e-14,5.70515278783837e-14,4.4320488158872794e-08,4.4320488158872794e-08,-8.86409782971112e-08,-1.7104016673568352e-15,1.7115368088947502e-15,1.3296146654380913e-09,1.3296146654380913e-09,-2.6592293902508066e-09
0.0,0.0,9.115456750372975e-06,9.115456750372975e-06,9.115456750372975e-06,4.557697623096936e-06,0.0,1.3673093081651535e-07,2.734637067633208e-07,2.734637067633208e-07,2.9446455545947847e-18,9.864367320884413e-17,0.0,2.734637067633208e-09,1.3673277594680546e-10,1.3673093081651534e-10,4.5577591272760395e-09,4.557697623096936e-09,9.115456750372975e-08,-2.8713698465246604e-09,-4.929184718739651e-08,9.571232672964946e-08,-9.571232672964946e-08,-4.929184718739651e-08,-6.156180324995747e-14,6.160282277616421e-14,4.7856162296189807e-08,4.7856162296189807e-08,-9.571232672964946e-08,-1.846849238019533e-15,1.848074935661636e-15,1.4356848912067072e-09,1.4356848912067072e-09,-2.871369846524659e-09
0.0,0.0,9.842643792325104e-06,9.842643792325104e-06,9.842643792325104e-06,4.921288690820064e-06,0.0,1.476386630176203e-07,2.9527931836109914e-07,2.9527931836109914e-07,3.1795551454297793e-18,1.065129887244584e-16,0.0,2.9527931836109914e-09,1.4764065534347883e-10,1.4763866301762032e-10,4.92135510150504e-09,4.921288690820065e-09,9.842643792325104e-08,-3.100433842134025e-09,-5.32241122982032e-08,1.0334779313126906e-07,-1.0334779313126906e-07,-5.32241122982032e-08,-6.647290609756588e-14,6.651719796329153e-14,5.1673895411749055e-08,5.1673895411749055e-08,-1.03347793131269e-07,-1.9941819357818894e-15,1.9955054136569158e-15,1.5502168864541473e-09,1.5502168864541473e-09,-3.1004338421340238e-09
0.0,0.0,1.062784229859154e-05,1.062784229859154e-05,1.062784229859154e-05,5.3138852949916955e-06,0.0,1.5941656132569505e-07,3.188352739153674e-07,3.188352739153674e-07,3.433204691233238e-18,1.1501008027339859e-16,0.0,3.188352739153674e-09,1.5941871258967236e-10,1.5941656132569505e-10,5.3139570035998445e-09,5.3138852949916955e-09,1.062784229859154e-07,-3.3477714551765517e-09,-5.7470074496539933e-08,1.1159238010452531e-07,-1.1159238010452531e-07,-5.7470074496539933e-08,-7.17757929720869e-14,7.182361822878453e-14,5.579618880632581e-08,5.579618880632581e-08,-1.1159238010452528e-07,-2.1532681234258154e-15,2.1546971819691252e-15,1.6738856902141636e-09,1.6738856902141636e-09,-3.3477714551765504e-09
0.0,0.0,1.1475680143154826e-05,1.1475680143154826e-05,1.1475680143154826e-05,5.737801356990411e-06,0.0,1.7213404338317544e-07,3.4427040964776114e-07,3.4427040964776114e-07,3.707089174928226e-18,1.2418502886427374e-16,0.0,3.4427040964776116e-09,1.721363662645857e-10,1.7213404338317544e-10,5.737878786164415e-09,5.737801356990411e-09,1.1475680143154826e-07,-3.6148404664492847e-09,-6.20547590184862e-08,1.2049468034189767e-07,-1.2049468034189767e-07,-6.20547590184862e-08,-7.75017185078894e-14,7.755335903245868e-14,6.024733882561718e-08,6.024733882561718e-08,-1.2049468034189767e-07,-2.3250454375145243e-15,2.326588499442464e-15,1.8074201928690044e-09,1.8074201928690044e-09,-3.6148404664492835e-09
0.0,0.0,1.2391154389395688e-05,1.2391154389395688e-05,1.2391154389395688e-05,6.1955353916483795e-06,0.0,1.8586606463619043e-07,3.717346374620327e-07,3.717346374620327e-07,4.002822843355726e-18,1.340919106146768e-16,0.0,3.717346374620327e-09,1.8586857282584226e-10,1.8586606463619043e-10,6.195618997747308e-09,6.19553539164838e-09,1.2391154389395687e-07,-3.9032149514489914e-09,-6.700518749239177e-08,1.3010716302579607e-07,-1.3010716302579607e-07,-6.700518749239177e-08,-8.368443068283529e-14,8.374019083893857e-14,6.505358006024229e-08,6.505358006024229e-08,-1.30107163025796e-07,-2.510526314720726e-15,2.512192474673667e-15,1.951607432149481e-09,1.951607432149481e-09,-3.9032149514489914e-09
0.0,0.0,1.3379660742237202e-05,1.3379660742237202e-05,1.3379660742237202e-05,6.689785233224079e-06,0.0,2.006935601137515e-07,4.013898285083915e-07,4.013898285083915e-07,4.322148720779392e-18,1.4478911569848066e-16,0.0,4.013898285083915e-09,2.0069626839464e-10,2.006935601137515e-10,6.689875509013123e-09,6.689785233224079e-09,1.3379660742237202e-07,-4.2145945578007034e-09,-7.235053720139465e-08,1.4048648307617424e-07,-1.4048648307617424e-07,-7.235053720139465e-08,-9.036036972524027e-14,9.042057815722958e-14,7.024323996954553e-08,7.024323996954553e-08,-1.4048648307617413e-07,-2.710803959017252e-15,2.7126030371626454e-15,2.1072972318491327e-09,2.1072972318491327e-09,-4.2145945578007034e-09
0.0,0.0,1.4447025349838564e-05,1.4447025349838564e-05,1.4447025349838564e-05,7.223463936141899e-06,0.0,2.1670392144994762e-07,4.334107672343312e-07,4.334107672343312e-07,4.666948880924268e-18,1.5633969241839143e-16,0.0,4.334107672343312e-09,2.1670684578438356e-10,2.1670392144994763e-10,7.223561413696665e-09,7.223463936141899e-09,1.4447025349838565e-07,-4.5508145227946436e-09,-7.812231305113129e-08,1.5169381506842197e-07,-1.5169381506842197e-07,-7.812231305113129e-08,-9.756888288856374e-14,9.763389445849102e-14,7.584690584053871e-08,7.584690584053871e-08,-1.516938150684218e-07,-2.9270587849011306e-15,2.929001384812351e-15,2.2754072105925842e-09,2.2754072105925842e-09,-4.5508145227946436e-09
0.0,0.0,1.559953914227409e-05,1.559953914227409e-05,1.559953914227409e-05,7.799716944215785e-06,0.0,2.3399151196066268e-07,4.679861815450156e-07,4.679861815450156e-07,5.0392555410885205e-18,1.6881171860587503e-16,0.0,4.679861815450156e-09,2.339946695843529e-10,2.339915119606627e-10,7.799822198058306e-09,7.799716944215784e-09,1.559953914227409e-07,-4.913856490073766e-09,-8.435453325619943e-08,1.637952137896109e-07,-1.637952137896109e-07,-8.435453325619943e-08,-1.0535245635974338e-13,1.0542265423882854e-13,8.189760506602024e-08,8.189760506602024e-08,-1.6379521378961083e-07,-3.160565374627775e-15,3.1626629457807355e-15,2.4569281901791894e-09,2.4569281901791894e-09,-4.9138564900737664e-09
0.0,0.0,1.684399490958599e-05,1.684399490958599e-05,1.684399490958599e-05,8.421940629550547e-06,0.0,2.526582228106236e-07,5.053198551448799e-07,5.053198551448799e-07,5.44126304009818e-18,1.8227870320106267e-16,0.0,5.053198551448799e-09,2.526616323342563e-10,2.526582228106236e-10,8.422054280035442e-09,8.421940629550548e-09,1.6843994909585988e-07,-5.305860189224317e-09,-9.108392983978827e-08,1.76862003558174e-07,-1.76862003558174e-07,-9.108392983978827e-08,-1.1375696566823963e-13,1.1383276359530187e-13,8.843099980441016e-08,8.843099980441016e-08,-1.7686200355817398e-07,-3.412699990459284e-15,3.4149648957148023e-15,2.6529300353781834e-09,2.6529300353781834e-09,-5.305860189224316e-09
0.0,0.0,1.818772733774472e-05,1.818772733774472e-05,1.818772733774472e-05,9.093802310386973e-06,0.0,2.728140735487627e-07,5.456318286164593e-07,5.456318286164593e-07,5.875340770631161e-18,1.968200192707528e-16,0.0,5.4563182861645935e-09,2.728177550676966e-10,2.728140735487627e-10,9.093925027357748e-09,9.093802310386973e-09,1.8187727337744722e-07,-5.729136047107634e-09,-9.835016512819998e-08,1.9097119860162495e-07,-1.9097119860162495e-07,-9.835016512819998e-08,-1.228319460713019e-13,1.229137907912745e-13,9.548559716860549e-08,9.548559716860549e-08,-1.9097119860162495e-07,-3.684948686203155e-15,3.68739427467242e-15,2.864567959594441e-09,2.864567959594441e-09,-5.729136047107632e-09
0.0,0.0,1.9638656238484666e-05,1.9638656238484666e-05,1.9638656238484666e-05,9.819261865873815e-06,0.0,2.945778605513876e-07,5.891596963154796e-07,5.891596963154796e-07,6.344047145412155e-18,2.1252137199701026e-16,0.0,5.891596963154796e-09,2.94581835764092e-10,2.945778605513876e-10,9.81939437261085e-09,9.819261865873816e-09,1.9638656238484666e-07,-6.186178805262936e-09,-1.06196065516255e-07,2.0620595696997887e-07,-2.0620595696997887e-07,-1.06196065516255e-07,-1.3263088450940642e-13,1.3271925840644354e-13,1.0310297618268531e-07,1.0310297618268531e-07,-2.062059569699789e-07,-3.978916065851058e-15,3.981556751574365e-15,3.0930893335697213e-09,3.0930893335697213e-09,-6.186178805262932e-09
0.0,0.0,2.1205333227806904e-05,2.1205333227806904e-05,2.1205333227806904e-05,1.0602595075161706e-05,0.0,3.180778571950097e-07,6.361600067259625e-07,6.361600067259625e-07,6.850144676364327e-18,2.294753036025875e-16,0.0,6.361600067259626e-09,3.1808214953095283e-10,3.180778571950097e-10,1.0602738152645199e-08,1.0602595075161706e-08,2.1205333227806904e-07,-6.679682223640719e-09,-1.1466787388137314e-07,2.2265607066018952e-07,-2.2265607066018952e-07,-1.1466787388137314e-07,-1.4321153485235327e-13,1.433069587929198e-13,1.1132803284412394e-07,1.1132803284412394e-07,-2.2265607066018954e-07,-4.296334740939038e-15,4.299186087841151e-15,3.339841037249202e-09,3.339841037249202e-09,-6.679682223640717e-09
