v1,V(n001),V(n002),Ic(Q1),Ib(Q1),Ie(Q1),I(I1),I(V1)
0.0,0.0,0.6246277,-9.819027e-05,1e-04,-1.8097322e-06,1e-04,9.819027e-05
0.01,0.01,0.6344024,3.8987975e-05,1e-04,-0.00013898798,1e-04,-3.8987975e-05
0.02,0.02,0.64408445,0.00023606968,1e-04,-0.0003360697,1e-04,-0.00023606968
0.03,0.03,0.6536274,0.00051623693,1e-04,-0.00061623694,1e-04,-0.00051623693
0.04,0.04,0.6629767,0.0009087258,1e-04,-0.0010087257,1e-04,-0.0009087258
0.05,0.05,0.6720625,0.001447773,1e-04,-0.0015477729,1e-04,-0.001447773
0.060000000000000005,0.06,0.68079954,0.0021690794,1e-04,-0.0022690794,1e-04,-0.0021690794
0.07,0.07,0.68909055,0.0031029952,1e-04,-0.0032029953,1e-04,-0.0031029952
0.08,0.08,0.6968335,0.004264852,1e-04,-0.004364852,1e-04,-0.004264852
0.09,0.09,0.70393157,0.005644934,1e-04,-0.0057449336,1e-04,-0.005644934
0.09999999999999999,0.1,0.71030414,0.0072022825,1e-04,-0.0073022824,1e-04,-0.0072022825
0.10999999999999999,0.11,0.71589524,0.008866193,1e-04,-0.008966193,1e-04,-0.008866193
0.11999999999999998,0.12,0.72067964,0.010546471,1e-04,-0.010646471,1e-04,-0.010546471
0.12999999999999998,0.13,0.7246652,0.012149853,1e-04,-0.0122498525,1e-04,-0.012149853
0.13999999999999999,0.14,0.7278928,0.013597412,1e-04,-0.013697412,1e-04,-0.013597412
0.15,0.15,0.7304324,0.014837384,1e-04,-0.014937384,1e-04,-0.014837384
0.16,0.16,0.7323757,0.015849724,1e-04,-0.015949724,1e-04,-0.015849724
0.17,0.17,0.733825,0.0166422,1e-04,-0.0167422,1e-04,-0.0166422
0.18000000000000002,0.18,0.73488224,0.01724117,1e-04,-0.01734117,1e-04,-0.01724117
0.19000000000000003,0.19,0.73563945,0.017681401,1e-04,-0.017781401,1e-04,-0.017681401
0.20000000000000004,0.2,0.73617405,0.017998146,1e-04,-0.018098146,1e-04,-0.017998146
0.21000000000000005,0.21,0.7365474,0.018222539,1e-04,-0.018322539,1e-04,-0.018222539
0.22000000000000006,0.22,0.73680615,0.018379815,1e-04,-0.018479817,1e-04,-0.018379815
0.23000000000000007,0.23,0.7369844,0.01848931,1e-04,-0.01858931,1e-04,-0.01848931
0.24000000000000007,0.24,0.73710674,0.018565275,1e-04,-0.018665275,1e-04,-0.018565275
0.25000000000000006,0.25,0.7371905,0.018617947,1e-04,-0.018717946,1e-04,-0.018617947
0.26000000000000006,0.26,0.73724777,0.01865455,1e-04,-0.018754551,1e-04,-0.01865455
0.2700000000000001,0.27,0.7372869,0.018680124,1e-04,-0.018780123,1e-04,-0.018680124
0.2800000000000001,0.28,0.7373137,0.018698147,1e-04,-0.018798146,1e-04,-0.018698147
0.2900000000000001,0.29,0.73733205,0.018711017,1e-04,-0.018811017,1e-04,-0.018711017
0.3000000000000001,0.3,0.7373446,0.018720377,1e-04,-0.018820377,1e-04,-0.018720377
0.3100000000000001,0.31,0.7373533,0.018727344,1e-04,-0.018827343,1e-04,-0.018727344
0.3200000000000001,0.32,0.73735934,0.018732682,1e-04,-0.018832682,1e-04,-0.018732682
0.3300000000000001,0.33,0.7373635,0.018736912,1e-04,-0.018836912,1e-04,-0.018736912
0.34000000000000014,0.34,0.7373665,0.018740391,1e-04,-0.018840391,1e-04,-0.018740391
0.35000000000000014,0.35,0.73736864,0.018743359,1e-04,-0.018843358,1e-04,-0.018743359
0.36000000000000015,0.36,0.73737025,0.018745977,1e-04,-0.018845977,1e-04,-0.018745977
0.37000000000000016,0.37,0.73737144,0.01874836,1e-04,-0.01884836,1e-04,-0.01874836
0.38000000000000017,0.38,0.73737234,0.018750582,1e-04,-0.018850582,1e-04,-0.018750582
0.3900000000000002,0.39,0.7373731,0.018752696,1e-04,-0.018852696,1e-04,-0.018752696
0.4000000000000002,0.4,0.73737377,0.018754734,1e-04,-0.018854734,1e-04,-0.018754734
0.4100000000000002,0.41,0.7373743,0.018756723,1e-04,-0.018856723,1e-04,-0.018756723
0.4200000000000002,0.42,0.7373748,0.018758677,1e-04,-0.018858677,1e-04,-0.018758677
0.4300000000000002,0.43,0.73737526,0.018760609,1e-04,-0.018860608,1e-04,-0.018760609
0.4400000000000002,0.44,0.7373757,0.018762523,1e-04,-0.018862523,1e-04,-0.018762523
0.45000000000000023,0.45,0.7373761,0.018764429,1e-04,-0.018864429,1e-04,-0.018764429
0.46000000000000024,0.46,0.7373765,0.018766325,1e-04,-0.018866325,1e-04,-0.018766325
0.47000000000000025,0.47,0.73737687,0.018768217,1e-04,-0.018868217,1e-04,-0.018768217
0.48000000000000026,0.48,0.7373773,0.018770106,1e-04,-0.018870106,1e-04,-0.018770106
0.49000000000000027,0.49,0.73737764,0.018771993,1e-04,-0.018871993,1e-04,-0.018771993
0.5000000000000002,0.5,0.73737806,0.018773878,1e-04,-0.018873878,1e-04,-0.018773878
0.5100000000000002,0.51,0.7373784,0.018775763,1e-04,-0.018875763,1e-04,-0.018775763
0.5200000000000002,0.52,0.7373788,0.018777646,1e-04,-0.018877646,1e-04,-0.018777646
0.5300000000000002,0.53,0.7373792,0.018779527,1e-04,-0.018879527,1e-04,-0.018779527
0.5400000000000003,0.54,0.73737955,0.01878141,1e-04,-0.01888141,1e-04,-0.01878141
0.5500000000000003,0.55,0.7373799,0.018783294,1e-04,-0.018883293,1e-04,-0.018783294
0.5600000000000003,0.56,0.7373803,0.018785175,1e-04,-0.018885175,1e-04,-0.018785175
0.5700000000000003,0.57,0.7373807,0.018787056,1e-04,-0.018887056,1e-04,-0.018787056
0.5800000000000003,0.58,0.73738104,0.01878894,1e-04,-0.01888894,1e-04,-0.01878894
0.5900000000000003,0.59,0.73738146,0.01879082,1e-04,-0.01889082,1e-04,-0.01879082
0.6000000000000003,0.6,0.7373818,0.018792702,1e-04,-0.018892702,1e-04,-0.018792702
