time,V(n001),V(3),V(n008),V(2),V(n009),V(n011),V(n010),V(n013),V(n016),V(n018),V(n019),V(7),V(4),V(n002),V(n003),V(n014),V(n020),V(n004),V(n007),V(n015),V(n017),V(n005),V(n012),V(6),V(n006),Ic(Q19),Ib(Q19),Ie(Q19),Ic(Q11),Ib(Q11),Ie(Q11),Ic(Q10),Ib(Q10),Ie(Q10),Ic(Q9),Ib(Q9),Ie(Q9),Ic(Q4),Ib(Q4),Ie(Q4),Ic(Q6),Ib(Q6),Ie(Q6),Ic(Q5),Ib(Q5),Ie(Q5),Ic(Q20),Ib(Q20),Ie(Q20),Ic(Q18),Ib(Q18),Ie(Q18),Ic(Q17),Ib(Q17),Ie(Q17),Ic(Q16),Ib(Q16),Ie(Q16),Ic(Q15),Ib(Q15),Ie(Q15),Ic(Q14),Ib(Q14),Ie(Q14),Ic(Q13),Ib(Q13),Ie(Q13),Ic(Q12),Ib(Q12),Ie(Q12),Ic(Q3),Ib(Q3),Ie(Q3),Ic(Q8),Ib(Q8),Ie(Q8),Ic(Q7),Ib(Q7),Ie(Q7),Ic(Q2),Ib(Q2),Ie(Q2),Ic(Q1),Ib(Q1),Ie(Q1),I(C1),I(R14),I(R13),I(R12),I(R11),I(R10),I(R9),I(R8),I(R7),I(R6),I(R5),I(R4),I(R3),I(R2),I(R1),I(V3),I(V2),I(V1)
0,14.3289,-0.0007929628,-0.6557273,-0.0004599825,-0.6555607,-13.526653,-1.3099098,-13.67401,-14.336586,-14.990421,-14.990421,15,-15,14.229151,0.6140172,-14.231234,-14.903287,0.13634482,-0.62560403,-14.201105,-14.967001,-0.0042012506,-0.004401716,-0.0042617363,0,-2.69E-06,-1.08E-07,2.80E-06,-0.00067569775,-2.70E-05,0.0007027256,-0.00067569764,-2.70E-05,0.00070272555,-1.84E-05,-7.37E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-9.61E-06,-3.84E-07,9.99E-06,-9.67E-06,-3.87E-07,1.01E-05,6.18E-13,-6.18E-13,-1.61E-16,2.40E-06,1.92E-08,-2.42E-06,1.44E-12,-1.41E-12,-3.34E-14,2.10E-05,1.68E-07,-2.12E-05,0.0006547388,5.24E-06,-0.0006599767,0.00056952913,4.56E-06,-0.00057408534,1.92E-05,1.54E-07,-1.93E-05,0.00072380947,5.79E-06,-0.00072959997,1.33E-05,1.06E-07,-1.34E-05,9.50E-06,7.60E-08,-9.58E-06,9.50E-06,7.60E-08,-9.58E-06,9.98E-06,7.98E-08,-1.01E-05,9.91E-06,7.93E-08,-9.99E-06,4.24E-22,-7.93E-08,0.00072975346,-4.60E-07,-3.80E-07,2.80E-06,2.42E-06,0.00010614942,-0.000101593185,0.0006599767,1.60E-05,1.93E-05,9.58E-06,1.33E-05,9.58E-06,-7.93E-08,-0.0014594746,0.0014600139
1.25E-08,14.328898,-0.0007434972,-0.65569544,-0.00045938778,-0.65555376,-13.526654,-1.309896,-13.673987,-14.336568,-14.990417,-14.990417,15,-15,14.229151,0.61401784,-14.231234,-14.903287,0.13634579,-0.6256029,-14.201105,-14.967001,-0.004200454,-0.004400915,-0.004260938,7.85E-05,-2.69E-06,-1.08E-07,2.80E-06,-0.00067569746,-2.70E-05,0.00070272543,-0.0006756976,-2.70E-05,0.0007027255,-1.84E-05,-7.38E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-9.61E-06,-3.86E-07,1.00E-05,-9.67E-06,-3.85E-07,1.01E-05,-9.38E-12,8.92E-12,4.55E-13,2.40E-06,1.92E-08,-2.42E-06,-1.71E-11,1.98E-13,1.69E-11,2.10E-05,1.68E-07,-2.12E-05,0.0006547339,5.24E-06,-0.0006599718,0.0005695244,4.56E-06,-0.0005740806,1.92E-05,1.53E-07,-1.93E-05,0.0007238098,5.79E-06,-0.0007296003,1.33E-05,1.08E-07,-1.34E-05,9.51E-06,7.82E-08,-9.58E-06,9.51E-06,7.69E-08,-9.58E-06,9.98E-06,7.92E-08,-1.01E-05,9.92E-06,8.22E-08,-1.00E-05,4.54E-09,-8.22E-08,0.00072975346,-4.59E-07,-3.80E-07,2.80E-06,2.42E-06,0.000106149346,-0.00010159315,0.0006599718,1.60E-05,1.93E-05,9.58E-06,1.33E-05,9.58E-06,-8.22E-08,-0.0014594791,0.0014600207
2.50E-08,14.328896,-0.0006632546,-0.6556386,-0.00045852724,-0.6555369,-13.526656,-1.3098626,-13.673944,-14.336531,-14.990406,-14.990406,15,-15,14.229151,0.6140229,-14.231234,-14.903287,0.13635196,-0.6255959,-14.201107,-14.967002,-0.0041957204,-0.0043961685,-0.004256207,0.00015707963,-2.69E-06,-1.07E-07,2.80E-06,-0.00067569595,-2.70E-05,0.00070272404,-0.00067569746,-2.70E-05,0.0007027254,-1.84E-05,-7.39E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-9.62E-06,-3.86E-07,1.00E-05,-9.66E-06,-3.84E-07,1.00E-05,1.46E-11,-1.38E-11,-8.18E-13,2.40E-06,1.93E-08,-2.42E-06,-3.42E-11,-2.50E-12,3.67E-11,2.10E-05,1.68E-07,-2.12E-05,0.0006547174,5.24E-06,-0.00065995497,0.0005695083,4.56E-06,-0.0005740643,1.92E-05,1.53E-07,-1.93E-05,0.00072381,5.79E-06,-0.0007296005,1.33E-05,1.07E-07,-1.34E-05,9.51E-06,7.91E-08,-9.59E-06,9.52E-06,7.77E-08,-9.59E-06,9.97E-06,7.88E-08,-1.00E-05,9.93E-06,8.20E-08,-1.00E-05,1.92E-08,-8.20E-08,0.00072975346,-4.59E-07,-3.80E-07,2.80E-06,2.42E-06,0.000106149106,-0.00010159305,0.00065995497,1.60E-05,1.93E-05,9.59E-06,1.33E-05,9.59E-06,-8.20E-08,-0.0014594848,0.0014600254
5.00E-08,14.328894,-0.00050548336,-0.6555214,-0.00045587143,-0.65549725,-13.526661,-1.3097856,-13.6738825,-14.33647,-14.99039,-14.99039,15,-15,14.229151,0.6140566,-14.231234,-14.903287,0.13638788,-0.62555826,-14.201111,-14.967004,-0.0041694636,-0.0043698703,-0.004229976,0.00031415926,-2.69E-06,-1.06E-07,2.80E-06,-0.000675692,-2.70E-05,0.0007027205,-0.00067569705,-2.70E-05,0.0007027249,-1.84E-05,-7.39E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-9.64E-06,-3.86E-07,1.00E-05,-9.65E-06,-3.83E-07,1.00E-05,1.35E-10,-1.33E-10,-1.98E-12,2.40E-06,1.97E-08,-2.42E-06,-3.20E-11,-4.51E-12,3.65E-11,2.10E-05,1.68E-07,-2.12E-05,0.0006546824,5.24E-06,-0.00065991946,0.0005694742,4.56E-06,-0.0005740299,1.92E-05,1.53E-07,-1.93E-05,0.00072381005,5.79E-06,-0.00072960055,1.33E-05,1.07E-07,-1.34E-05,9.53E-06,7.86E-08,-9.61E-06,9.53E-06,7.76E-08,-9.61E-06,9.96E-06,7.85E-08,-1.00E-05,9.94E-06,8.20E-08,-1.00E-05,4.94E-08,-8.20E-08,0.00072975346,-4.56E-07,-3.77E-07,2.80E-06,2.42E-06,0.000106148604,-0.00010159282,0.00065991946,1.60E-05,1.93E-05,9.61E-06,1.33E-05,9.61E-06,-8.20E-08,-0.0014594852,0.001460023
1.00E-07,14.328894,-0.0001926619,-0.65528417,-0.0004453976,-0.65541136,-13.526669,-1.3096242,-13.673774,-14.336366,-14.990361,-14.990361,15,-15,14.229151,0.6142125,-14.231234,-14.903287,0.13654798,-0.62539506,-14.201117,-14.967008,-0.004056191,-0.0042564347,-0.0041168197,0.0006283185,-2.69E-06,-1.05E-07,2.79E-06,-0.00067568466,-2.70E-05,0.00070271397,-0.0006756963,-2.70E-05,0.00070272415,-1.84E-05,-7.39E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-9.67E-06,-3.87E-07,1.01E-05,-9.62E-06,-3.82E-07,1.00E-05,3.82E-10,-3.80E-10,-2.43E-12,2.40E-06,2.06E-08,-2.42E-06,-2.87E-11,-3.71E-12,3.24E-11,2.10E-05,1.68E-07,-2.12E-05,0.0006546171,5.24E-06,-0.0006598533,0.0005694107,4.56E-06,-0.00057396595,1.92E-05,1.53E-07,-1.93E-05,0.0007238101,5.79E-06,-0.0007296006,1.33E-05,1.07E-07,-1.34E-05,9.56E-06,7.85E-08,-9.64E-06,9.56E-06,7.76E-08,-9.64E-06,9.93E-06,7.83E-08,-1.00E-05,9.97E-06,8.21E-08,-1.01E-05,1.05E-07,-8.21E-08,0.00072975346,-4.45E-07,-3.67E-07,2.79E-06,2.43E-06,0.00010614768,-0.0001015924,0.00065985334,1.60E-05,1.93E-05,9.64E-06,1.33E-05,9.64E-06,-8.21E-08,-0.0014594836,0.0014600111
2.00E-07,14.328893,0.00043148705,-0.6548048,-0.0004034918,-0.6552235,-13.526684,-1.3092899,-13.673563,-14.336164,-14.990307,-14.990307,15,-15,14.229151,0.61486125,-14.231234,-14.903287,0.1372047,-0.6247323,-14.201129,-14.967014,-0.003598307,-0.003797918,-0.0036594174,0.0012566367,-2.67E-06,-1.02E-07,2.77E-06,-0.0006756706,-2.70E-05,0.0007027015,-0.0006756948,-2.70E-05,0.0007027226,-1.84E-05,-7.39E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-9.72E-06,-3.89E-07,1.01E-05,-9.57E-06,-3.80E-07,9.95E-06,8.40E-10,-8.37E-10,-3.71E-12,2.42E-06,2.22E-08,-2.44E-06,-2.88E-11,-3.75E-12,3.25E-11,2.10E-05,1.67E-07,-2.12E-05,0.00065449136,5.23E-06,-0.00065972586,0.00056928885,4.55E-06,-0.00057384314,1.92E-05,1.53E-07,-1.93E-05,0.0007238101,5.79E-06,-0.0007296006,1.33E-05,1.07E-07,-1.34E-05,9.61E-06,7.89E-08,-9.69E-06,9.62E-06,7.80E-08,-9.69E-06,9.87E-06,7.79E-08,-9.95E-06,1.00E-05,8.25E-08,-1.01E-05,2.13E-07,-8.25E-08,0.00072975346,-4.03E-07,-3.26E-07,2.77E-06,2.44E-06,0.000106145904,-0.0001015916,0.0006597259,1.60E-05,1.93E-05,9.69E-06,1.33E-05,9.69E-06,-8.25E-08,-0.0014594921,0.0014599782
4.00E-07,14.328892,0.0016806929,-0.65382373,-0.00024125862,-0.65478635,-13.526711,-1.3085774,-13.673173,-14.335791,-14.990204,-14.990204,15,-15,14.229152,0.61741626,-14.231234,-14.903287,0.1397747,-0.622151,-14.201153,-14.967026,-0.0018186409,-0.002016028,-0.0018817023,0.0025132715,-2.59E-06,-9.38E-08,2.69E-06,-0.0006756444,-2.70E-05,0.0007026781,-0.000675692,-2.70E-05,0.00070271967,-1.84E-05,-7.39E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-9.82E-06,-3.93E-07,1.02E-05,-9.47E-06,-3.76E-07,9.84E-06,1.70E-09,-1.70E-09,-6.32E-12,2.50E-06,2.57E-08,-2.52E-06,-2.64E-11,-3.64E-12,3.00E-11,2.10E-05,1.66E-07,-2.12E-05,0.0006542543,5.23E-06,-0.00065948564,0.0005690606,4.55E-06,-0.0005736131,1.92E-05,1.53E-07,-1.93E-05,0.00072381017,5.79E-06,-0.00072960067,1.33E-05,1.07E-07,-1.34E-05,9.72E-06,7.95E-08,-9.80E-06,9.72E-06,7.87E-08,-9.80E-06,9.77E-06,7.72E-08,-9.84E-06,1.01E-05,8.33E-08,-1.02E-05,4.14E-07,-8.33E-08,0.00072975346,-2.41E-07,-1.64E-07,2.69E-06,2.52E-06,0.00010614257,-0.00010159009,0.0006594857,1.60E-05,1.93E-05,9.80E-06,1.33E-05,9.80E-06,-8.33E-08,-0.0014595501,0.0014598747
8.00E-07,14.328891,0.0041808626,-0.6517843,0.00035973403,-0.6536975,-13.526761,-1.3069996,-13.672499,-14.335145,-14.9900255,-14.9900255,15,-15,14.229152,0.6269208,-14.231234,-14.903287,0.14930551,-0.61260045,-14.201193,-14.967047,0.004788721,0.0045964667,0.0047173738,0.005026527,-2.34E-06,-7.54E-08,2.42E-06,-0.0006755985,-2.70E-05,0.00070263736,-0.0006756871,-2.70E-05,0.0007027146,-1.84E-05,-7.39E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-1.00E-05,-3.99E-07,1.04E-05,-9.29E-06,-3.69E-07,9.66E-06,3.17E-09,-3.16E-09,-1.20E-11,2.82E-06,3.32E-08,-2.85E-06,-2.31E-11,-3.41E-12,2.65E-11,2.10E-05,1.63E-07,-2.12E-05,0.00065383455,5.23E-06,-0.0006590603,0.00056866097,4.55E-06,-0.00057321024,1.92E-05,1.53E-07,-1.93E-05,0.0007238102,5.79E-06,-0.0007296007,1.34E-05,1.07E-07,-1.35E-05,9.89E-06,8.07E-08,-9.97E-06,9.89E-06,8.00E-08,-9.97E-06,9.58E-06,7.60E-08,-9.66E-06,1.03E-05,8.46E-08,-1.04E-05,7.64E-07,-8.46E-08,0.00072975346,3.60E-07,4.36E-07,2.42E-06,2.85E-06,0.00010613674,-0.00010158746,0.0006590603,1.60E-05,1.93E-05,9.97E-06,1.33E-05,9.97E-06,-8.46E-08,-0.0014598448,0.0014595696
1.60E-06,14.328889,0.009187473,-0.6474602,0.00248735,-0.6508143,-13.526837,-1.3033593,-13.671494,-14.334184,-14.989756,-14.989756,15,-15,14.229152,0.6592571,-14.231234,-14.903287,0.18168196,-0.5801937,-14.201256,-14.96708,0.028213052,0.02801327,0.028103765,0.010052927,-1.77E-06,-4.04E-08,1.81E-06,-0.000675529,-2.70E-05,0.00070257555,-0.00067567977,-2.70E-05,0.0007027069,-1.84E-05,-7.40E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-1.03E-05,-4.09E-07,1.07E-05,-9.03E-06,-3.58E-07,9.38E-06,4.88E-09,-4.85E-09,-2.58E-11,4.32E-06,5.18E-08,-4.37E-06,-1.69E-11,-3.00E-12,1.99E-11,2.10E-05,1.60E-07,-2.12E-05,0.0006531855,5.22E-06,-0.0006584027,0.0005680495,4.54E-06,-0.0005725939,1.92E-05,1.53E-07,-1.93E-05,0.0007238104,5.79E-06,-0.0007296009,1.34E-05,1.07E-07,-1.35E-05,1.02E-05,8.24E-08,-1.02E-05,1.02E-05,8.19E-08,-1.02E-05,9.31E-06,7.43E-08,-9.38E-06,1.06E-05,8.65E-08,-1.07E-05,1.30E-06,-8.65E-08,0.00072975346,2.49E-06,2.56E-06,1.81E-06,4.37E-06,0.00010612781,-0.00010158342,0.0006584027,1.60E-05,1.93E-05,1.02E-05,1.33E-05,1.02E-05,-8.65E-08,-0.0014612979,0.001458897
3.20E-06,14.328886,0.019216085,-0.6382256,0.009084993,-0.64329684,-13.526932,-1.2949201,-13.670316,-14.333058,-14.989434,-14.989434,15,-15,14.229153,0.7518725,-14.231234,-14.903287,0.2743468,-0.48749155,-14.201334,-14.96712,0.10091085,0.10061323,0.10065902,0.020104839,-9.22E-07,5.75E-09,9.16E-07,-0.00067544595,-2.71E-05,0.0007025017,-0.000675671,-2.70E-05,0.0007026978,-1.84E-05,-7.40E-07,1.92E-05,-1.84E-05,-7.37E-07,1.92E-05,-1.06E-05,-4.21E-07,1.10E-05,-8.71E-06,-3.45E-07,9.06E-06,5.01E-09,-4.95E-09,-5.31E-11,9.97E-06,1.01E-07,-1.01E-05,-7.38E-12,-2.28E-12,9.66E-12,2.10E-05,1.56E-07,-2.12E-05,0.0006523836,5.21E-06,-0.0006575905,0.000567297,4.54E-06,-0.0005718353,1.92E-05,1.52E-07,-1.93E-05,0.0007238106,5.79E-06,-0.0007296011,1.34E-05,1.07E-07,-1.35E-05,1.05E-05,8.44E-08,-1.06E-05,1.05E-05,8.41E-08,-1.06E-05,8.98E-06,7.24E-08,-9.06E-06,1.09E-05,8.88E-08,-1.10E-05,1.93E-06,-8.88E-08,0.00072975346,9.08E-06,9.16E-06,9.16E-07,1.01E-05,0.00010611682,-0.000101578444,0.00065759046,1.60E-05,1.93E-05,1.06E-05,1.33E-05,1.06E-05,-8.88E-08,-0.001466897,0.0014579005
